SampleID,Group,species,site,month,age,group,bird_id,type,Recap,recap_delete,Recap_num,replicate,remove_replicate,weight,wing,hb,SourceSink,Env,Date,Plate,migration
8610,8610,Red-necked stint,Broome,August,Adult,two,3648481,bird,No,No,,No,No,,,,,,29/08/2015,2,Broome-stint-adult
8612,8612,Red-necked stint,Broome,August,Adult,two,3681019,bird,No,No,,No,No,,,,,,29/08/2015,2,Broome-stint-adult
8613,8613,Red-necked stint,Broome,August,Adult,two,3681207,bird,No,No,,No,No,,,,,,29/08/2015,2,Broome-stint-adult
8615,8615,Curlew sandpiper,Broome,August,Adult,one,4267514,bird,No,No,,No,No,53,133,63.7,,,29/08/2015,2,Broome-curlewsand-adult
8616,8616,Red-necked stint,Broome,August,Adult,two,3681203,bird,No,No,,No,No,,,,,,29/08/2015,2,Broome-stint-adult
8618,8618,Red-necked stint,Broome,August,Adult,two,3681020,bird,No,No,,No,No,,,,,,29/08/2015,2,Broome-stint-adult
8625,8625,Curlew sandpiper,Broome,August,Adult,one,4267094,bird,No,No,,No,No,54,129,58.5,,,29/08/2015,2,Broome-curlewsand-adult
8626,8626,Curlew sandpiper,Broome,August,Adult,one,4267512,bird,No,No,,No,No,50,131,57.9,,,29/08/2015,2,Broome-curlewsand-adult
8627,8627,Curlew sandpiper,Broome,August,Adult,one,4267511,bird,No,No,,No,No,66,132,63.7,,,29/08/2015,2,Broome-curlewsand-adult
8628,8628,Curlew sandpiper,Broome,August,Adult,one,4267095,bird,No,No,,No,No,56,128,60.4,,,29/08/2015,2,Broome-curlewsand-adult
8629,8629,Curlew sandpiper,Broome,August,Adult,one,4267093,bird,No,No,,No,No,50,131,62.8,,,29/08/2015,2,Broome-curlewsand-adult
8630,8630,Curlew sandpiper,Broome,August,Adult,one,4234241,bird,No,No,,No,No,52,132,59.3,,,29/08/2015,2,Broome-curlewsand-adult
8632,8632,Curlew sandpiper,Broome,August,Adult,one,4265099,bird,No,No,,No,No,60,131,58,,,29/08/2015,2,Broome-curlewsand-adult
8633,8633,Curlew sandpiper,Broome,August,Second year,one,4267092,bird,No,No,,No,No,60,132,62.5,,,29/08/2015,2,Broome-curlewsand-SY
8634,8634,Red-necked stint,Flinders,September,Adult,three,3655828,bird,Yes,Yes,1,No,No,30,,,source,gut,20/09/2015,1,Flinders-stint-adult
8638,8638,Red-necked stint,Flinders,September,Adult,three,3686359,bird,No,No,,No,No,28,,,source,gut,20/09/2015,1,Flinders-stint-adult
8639,8639,Red-necked stint,Flinders,September,Adult,three,3686361,bird,Yes,Yes,1,Yes,No,31,,,source,gut,20/09/2015,1,Flinders-stint-adult
8639_2,8639,Red-necked stint,Flinders,September,Adult,three,3686361,bird,Yes,Yes,1,Yes,Yes,31,,,source,gut,20/09/2015,1,Flinders-stint-adult
8640,8640,Ruddy turnstone,Flinders,September,,,5278340,bird,No,No,,No,No,,,,,,20/09/2015,2,
8644,8644,Red-necked stint,Flinders,September,Adult,three,3657909,bird,No,No,,No,No,27,,,source,gut,20/09/2015,1,Flinders-stint-adult
8645,8645,Red-necked stint,Flinders,September,Adult,three,3686362,bird,Yes,Yes,1,No,No,29,,,source,gut,20/09/2015,1,Flinders-stint-adult
8646,8646,Red-necked stint,Flinders,September,Adult,three,3686248,bird,No,No,,No,No,32,,,source,gut,20/09/2015,1,Flinders-stint-adult
8649,8649,Red-necked stint,Flinders,September,Adult,three,3686297,bird,Yes,Yes,1,No,No,27,,,source,gut,20/09/2015,1,Flinders-stint-adult
8655,8655,Red-necked stint,Flinders,September,Second year,three,3686369,bird,No,No,,No,No,31,,,source,gut,20/09/2015,1,Flinders-stint-SY
8657,8657,Red-necked stint,Flinders,September,Adult,three,3686258,bird,Yes,Yes,1,No,No,28,,,source,gut,20/09/2015,1,Flinders-stint-adult
8658,8658,Red-necked stint,Flinders,September,Second year,three,3686371,bird,No,No,,No,No,29,,,source,gut,20/09/2015,1,Flinders-stint-SY
8659,8659,Red-necked stint,Flinders,September,Adult,three,3657926,bird,No,No,,No,No,27,,,source,gut,20/09/2015,1,Flinders-stint-adult
8660,8660,Red-necked stint,Flinders,September,Adult,three,3690503,bird,No,No,,No,No,29,,,source,gut,20/09/2015,1,Flinders-stint-adult
8662,8662,Red-necked stint,Flinders,September,Adult,three,3655831,bird,No,No,,No,No,27,,,source,gut,20/09/2015,1,Flinders-stint-adult
8663,8663,Red-necked stint,Flinders,September,Second year,three,3686363,bird,No,No,,No,No,27,,,source,gut,20/09/2015,1,Flinders-stint-SY
8665,8665,Red-necked stint,Flinders,September,Second year,three,3686377,bird,No,No,,No,No,25,,,source,gut,20/09/2015,1,Flinders-stint-SY
8667,8667,Red-necked stint,Flinders,September,Second year,three,3686272,bird,No,No,,No,No,28,,,source,gut,20/09/2015,1,Flinders-stint-SY
8671,8671,Red-necked stint,Flinders,September,Adult,three,3686241,bird,No,No,,No,No,29,,,source,gut,20/09/2015,1,Flinders-stint-adult
8672,8672,Red-necked stint,Flinders,September,Second year,three,3686372,bird,Yes,Yes,1,No,No,30,,,source,gut,20/09/2015,1,Flinders-stint-SY
8674,8674,Red-necked stint,Flinders,September,Second year,three,3690507,bird,No,No,,No,No,27,,,source,gut,20/09/2015,1,Flinders-stint-SY
8675,8675,Red-necked stint,Flinders,September,Second year,three,3686378,bird,No,No,,No,No,28,,,source,gut,20/09/2015,1,Flinders-stint-SY
